Anyone can do that.	任何人都可以做到。
Tom definitely looks younger than Mary.	汤姆看起来的确比玛丽年轻。
Are you going to sing?	你要唱歌嗎？
We were caught in a storm.	我们被暴风雨袭击了。
I'd rather walk than take a bus.	我寧願走路勝過搭公車。
Don't underestimate me.	别低估我。
The baby caught sight of my ballpoint pen and reached out for it.	這個嬰兒盯著我的原子筆看, 並且伸手要拿它。
I'm afraid you can't marry her.	我怕你没法跟她结婚。
I'm not always at home on Sundays.	我星期天並不總是在家。
I use this.	我使用这个。
There weren't any roses in the garden.	花園裡沒有任何玫瑰。
May I come and see you now?	我現在可以來看看你嗎？
I'll keep doing it.	我要一直做下去。
She said that she had been happy.	她說她以前很快樂。
I've been careful my whole life.	我一生都谨慎行事。
I know those tall girls quite well.	我跟那些高個子的女孩很熟稔。
The bird was covered with white feathers.	鸟儿身上铺满了白色的羽毛。
Tom likes me the most.	Tom 最喜欢我。
This car is very economical on gas.	这辆车很省油。
Almost everyone in our village is related to one another.	我们村里所有的村民几乎彼此都是亲戚。
Better be the head of a cat than the tail of a lion.	寧為貓頭不為獅尾。
Now it is official.	现在它是官方的。
He bought a Honda.	他賣了一台豐田的車。
She went to the movies by herself.	她獨自去看了電影。
Which is your favorite team?	你最喜歡哪一隊?
Many children die of starvation in Africa.	在非洲有许多孩子死于饥饿。
The coral reef is the region's prime attraction.	珊瑚礁是这个地区的主要景点。
Tom helped me with the move.	汤姆帮我搬了家。
She said that she was happy.	她说了她很幸福。
Tell me what to do.	告訴我該做什麼。
Don't be too sensitive to criticism.	不要对批评太敏感了。
What's my room number?	我的房间号是多少？
Should Tom be worried?	Tom應該要擔心嗎？
He is very sensitive.	他很敏感。
I was out of town on vacation.	我出城度假了。
I got a phone call from him just as I was about to go to bed.	我正要上床的時候接到了他打來的電話。
Tom isn't a fool.	汤姆不是傻瓜。
I applied for membership in the association.	我申請成為協會會員。
Thermometers often go below zero.	温度计往往低于零度。
She's popular, not because she's beautiful, but because she's kind to everyone.	她受歡迎不是因為她的美麗，而是因為她親切地對待每個人。
I feel sad every now and then.	我常常覺得悲傷。
If not now, when?	如果不是现在，那是什么时候？
The rumor isn't true.	傳聞不是正確的。
Where do you study?	你在哪讀書？
Where is Mary?	玛丽在哪里？
Tom should be happy.	汤姆应该高兴。
He isn't here because he's ill.	他不在这儿，因为他病了。
All you have to do is say the word, and I'll leave.	你只要说句话，我就走。
I like my job very much.	我非常喜欢我的工作。
They arrived late because of the storm.	因为风暴，他们晚到了。
He said, "I'm from Canada."	他说：“我是加拿大来的。”
When did you begin learning German?	你什麼時候開始學習德文?
Do you want any of these books?	你要這些書中的任何一本嗎？
She made me a nice dress.	她做了一件好看的衣服給我。
He left the book on the table.	他在桌子上留下了這本書。
After school, I go to an English school to practice English conversation.	放學後，我到一所英語學校去練習英語會話。
There used to be a lot of frogs in this pond.	以前在這個池塘裡有許多青蛙。
The problem is who is going to tell him the truth.	問題是誰要告訴他真相。
He couldn't pass the examination.	他無法通過考試。
I majored in philosophy at my university.	我在大學主修哲學。
Lend me some books to read.	借我一些書看。
Tom wished he could understand French.	汤姆希望他能懂法语。
Nobody likes war.	没有人喜欢战争。
When I grow up, I want to be king.	當我長大後，我想當國王。
I want to go with a friend to Hokkaido next month.	我想下个月和一个朋友去北海道。
Do you miss me?	你想我了？
Actinium was discovered by André-Louis Debierne in 1899.	锕在1899年被他发现。
It is becoming important for us to know how to use a computer.	知道如何使用电脑对我们来说变得很重要。
She helped me to clear snow away.	她幫我清除積雪。
It is up to you to decide whether we will go there or not.	该由你来决定我们去不去那儿。
I couldn't answer all of the questions.	我不能回答所有的問題。
She wept bitterly.	她痛哭。
Are you busy at work?	你工作很忙嗎 ?
It would be nice to have a party.	开个聚会很好。
When I awoke, it was snowing.	當我醒來時，天正下著雪。
There is no fire without smoke.	沒有不冒煙的火。
He stopped for a quick cigarette.	他停下来抽根烟。
I asked him point-blank.	我直接地問了他。
That is no business of his.	那不關他的事。
This paragraph is vague.	這一個段落是模糊不清的。
You are very courageous.	您非常勇敢。
Who will be elected chairman?	谁将当选主席呢？
We're eating apples.	我們正在吃蘋果。
We have your size, but not in that color.	我们有你的尺寸，但是没有那个颜色。
She made me wait for half an hour.	她让我等了半小时。
How do we get out of here?	我们该怎么从这里出去。
I don't like tea.	我不喜欢喝茶。
You must pay attention to him.	你必须注意他。
It is so early.	太早了。
Everybody likes to goof off.	所有人都喜欢偷懒。
The first thing you have to take into consideration is time.	你应该考虑的第一件事是时间。
The Japanese military forces seemed too strong to stop.	日本军队看来强大得不可阻挡。
They say that he has been dead for two years.	他们说他死了两年了。
Who's going to believe that?	谁会信呢？
There is a certain amount of truth in what he's saying.	他說的話有一定的道理。
She's been working all day long.	她已經工作了一整天。
His scores are always better than mine, even though he doesn't study very much.	他的分数总比我高，尽管他学习得少一点。
Many friends came to see me off.	許多朋友來為我送行。
Ask him where he parked his car.	問問他把他的車停在那裡。
You ask too many questions.	你问题太多了
I know the boy standing over there.	我知道站在那裡的那個男孩。
Tom is studying to become a marine biologist.	汤姆正在学习以成为海洋生物学家。
She called up her mother on the phone.	她给她妈妈打电话。
Would you mind lending me your car?	你介意把你的車借給我嗎?
Tom poured himself another glass of wine.	汤姆又给自己倒了一杯酒。
He's an excellent tennis player.	他是个很棒的网球选手。
I think we're ready to do that.	我认为我们准备好了。
We have to fix the date for our trip quickly.	我们必须快点定下旅游日期。
My father went fishing.	我父親去釣魚了。
Tom has a big appetite.	汤姆胃口很大。
I'm not serious.	我不是认真的。
This book is popular with students.	這本書受到學生的歡迎。
Why did you cry?	你为什么哭？
You will soon get accustomed to living here.	你很快就會習慣住在這裡。
Can I use your pencil?	我可以用你的鉛筆嗎？
He cannot swim.	他不會游泳。
I was nervous, too.	我也紧张。
The mother occasionally reread her son's letter.	这位母亲偶尔会重温她的儿子的信件。
I'm learning how to type.	我正在學如何打字。
He traveled around the country.	他周遊全國各地。
It can't be!	这不可能！
He crashed his car because someone tampered with the brakes.	他撞车是因为有人在刹车上做了手脚。
Nothing's as important as peace.	没有什么和和平一样重要。
I like to eat.	我喜歡吃。
Are you certain this is what you want?	你确定这就是你想要的吗？
He will be at home tomorrow.	他明天会在家。
What has become of her son?	她儿子成为了什么？
We must not laugh at the poor.	我们不能嘲笑穷人。
I like shopping on Ebay.	我喜欢在eBay上购物。
She backed her car into the garage.	她倒車進車庫。
Where is my seat?	我的位子在哪儿？
I think this book is easy.	我觉得这本书很简单。
I'm a stranger here myself. I'm afraid I can't help you.	我對這裡不熟。恐怕我不能幫你。
It's a surprise.	这是一个惊喜。
I remember seeing you last year.	我記得去年看過你。
Be sure to drop us a line as soon as you get to London.	别忘了一到伦敦就给我们留言啊。
I am a man.	我是个男人。
We got lost in the snow.	我們在雪地裡迷了路。
He's really angry.	他非常生气。
Three out of four Americans believe in the existence of paranormal phenomena.	四分之三的美国人相信存在超自然现象。
Soldiers must carry out their orders.	軍人必須履行他們的命令。
Ask her when she will come back.	问问她什么时候回来。
He's a professor of biology at Harvard.	他是哈佛大学的生物学教授。
It's eight miles from here to London.	從這裡到倫敦要八英里。
The talks will deal with the problem of pollution.	这场谈论即将对污染问题展开讨论。
Optimists see opportunities in disasters while pessimists find disasters in every opportunity.	樂觀者在災禍中看到機會，悲觀者在機會中看到災禍。
I have been in Kobe since 1980.	我從1980年開始一直在神戶。
Let me give you some advice.	讓我給你一些建議。
I found a coin on the sidewalk.	我在人行道上發現了一枚硬幣。
Keep to the right.	靠右侧通行。
Someone is obviously telling a lie.	顯然有人在撒謊。
I need to get a stamp.	我需要一張郵票。
Our car is equipped with air conditioning.	我們的車配備了空調。
Please don't forget to put a stamp on the letter before mailing it.	请不要忘记寄信前要在上面贴邮票。
These flowers have a unique smell.	這些花有一種獨特的氣味。
I want to make a pie.	我想做个派。
A panel of experts discussed the plan.	一個專家小組討論這個計劃。
He is to come to my house tonight.	他今晚会来我家。
Who wants hot chocolate?	谁要热巧克力？
Tom didn't have a fever this morning.	湯姆今天早上沒有發燒。
Good morning. It's time to wake up.	早安。是該醒來的時候了。
I took my temperature every six hours.	我每六小时量一次体温。
He was born in Africa.	他出生在非洲。
He wouldn't listen to my advice.	他不聽我的勸告。
Don't forget your money.	不要忘记您的钱。
I paid him five dollars.	我付了他五塊美元。
This is just a hypothesis.	这只是个假设。
It's our job to help you.	帮助你是我们的工作。
Tell me how to solve the problem.	告訴我如何解決這個問題。
Does Tom drink coffee?	汤姆喝咖啡吗？
I walked three-fourths of a mile.	我走了四分之三英里。
I'm on a diet.	我在節食。
You're very alert.	你真是警惕。
Hug Tom.	抱抱汤姆！
I'll meet to you at eight.	我八點會跟你見面。
I used to have a friend named Tom.	我曾有个朋友叫汤姆。
This rose is beautiful.	這玫瑰花很美麗。
Does your school have a library?	你的学校有图书馆吗？
That book's over here.	那本书在这里。
What does everybody else think?	其他人怎麼想？
I had difficulty working out the problem.	我在解決這個問題上有困難。
I don't want to live my life in fear.	我不想在恐惧中生活。
I'd rather be a bird than a fish.	我寧願是一隻鳥勝過一條魚。
The water turned to ice.	水结成冰了。
Everyone wants to meet you. You're famous!	大家都想见到你，你太有名了！
Did your uncle let you drive his car?	你叔叔让你开他的车了吗？
That's all I could find.	那是我所有能找到的。
A big tree fell in the storm.	一棵大樹在暴風中倒下。
Skating is one of my hobbies.	滑冰是我的嗜好之一。
You are our only hope.	你是我们唯一的希望。
All their secrets have been revealed.	他們所有的秘密都已經被揭曉了。
These cameras are made in Japan.	這些照相機是在日本製造的。
Two beers, please.	请来两杯啤酒。
Judging from the look of the sky, it may rain this afternoon.	從天色上判斷，今天下午可能會下雨。
Every door in the house is locked.	這房子裡的每一扇門都被鎖上了。
She hasn't phoned since she went to London.	自她去了倫敦後，就沒再打電話了。
He loves to fish.	他酷爱钓鱼。
He came here ten minutes ago.	他十分鐘前到這裡。
He can play tennis very well.	他网球打得很好。
He wrote to his parents.	他寫信給他的父母。
I'd like to visit your country someday.	我想某一天拜访你的国家。
My brother took me to the museum.	我哥哥帶我去博物館。
She hung a curtain over the window.	她把窗簾掛在窗戶上。
Tom was too scared to say anything.	汤姆吓得说不出话。
I'm having a great time in Canada.	我現在在加拿大很開心。
They got out of the car.	他們下了車。
He got hurt when he fell down.	他跌倒的時候受了傷。
My father is in the garden.	我爸爸在花园里。
Tom is very kind.	汤姆人很好。
I wish I could go with you.	我希望能跟你走。
Who won?	谁赢了？
They're already here.	他們已經在這裡了。
Mary went down to the kitchen.	瑪麗下樓到廚房。
Tom turned up the TV.	汤姆把电视调大声。
I go to bed at eleven.	我十一点上床。
We saw the ground covered with snow.	我们看见地面被雪覆盖了。
I wonder what happened to his sister.	我想知道他姊姊發生了什麼事。
I'll always remember your kindness.	我會永遠記得你的好意。
He is old enough to drive a car.	他的年紀可以開車了。
You really are hopeless.	你真的是一點希望也沒有。
Some boys came into the classroom.	有些男孩走進了教室。
When I hear this song, I think of you, and miss you.	當我聽到這首歌，我想起了你，並想念著你。
That song was written by Tom.	那首歌是Tom寫的。
I did my best.	我做得好到不能再好了。
He's always at home on Sundays.	他星期日總是在家裡。
Your shoes are here.	你的鞋在这儿。
Come home.	回家吧。
Sir, can we quickly inspect your luggage please?	先生，我們可以檢查一下您的行李嗎？
Tom was late for dinner.	湯姆晚餐遲到了。
The bus was ten minutes late.	公车晚了十分钟。
He hasn't come already, has he?	他並沒有來，不是嗎？
What made you come here so early?	什麼原因讓你這麼早來這裡？
We caught some large fish there.	我們在那裡抓了一些大魚。
She went out to buy some food.	她出去買些食物了。
I am writing a letter.	我正在寫一封信。
I'm counting on your help.	我指望你的帮助。
She made a lot of spelling mistakes.	她犯了很多拼寫錯誤。
He was accused of murder.	他被控告杀人罪。
I'm very hungry.	我很餓。
All you have to do is to take care of yourself.	你要做的只是照顾好你自己。
This clock isn't working.	这表不走了。
The bicycle under the tree is mine.	那輛在樹下的自行車是我的。
She was holding an umbrella.	她握着一把伞。
She gave me several books.	她給了我幾本書。
There are fifty states in the United States.	美国有50个州。
You seem to know everything.	你看起来什么都知道。
Where are you going?	你要去哪裡?
Almost everyone came.	几乎每个人都来了。
I want everyone to help me clean the house.	我希望所有人都来帮我打扫房子。
Hey, relax.	嘿，放松点。
He felt his heart beating fast.	他覺得他的心跳加速。
They are sure to fall in love.	他们肯定会相恋的。
I am waiting for you to finish your homework.	我等你把作業做完。
Tom bought a house for Mary.	汤姆给玛丽买了个房子。
I saw you kissing Tom.	我看到了你在吻汤姆了。
There's something we need to talk about.	我们有些事要谈。
We have three kids.	我們有三個孩子。
How are your parents getting along?	你的父母是如何相處的？
It's not mine.	不是我的。
Pass me the salt, would you?	把鹽遞給我好嗎？
I have eight siblings.	我有八個兄弟姐妹。
We woke up very early in order to see the sunrise.	我们起得很早为了看到日出。
It's hard to believe that Tom wasn't aware that Mary was in love with him.	真难相信汤姆不知道玛丽爱他。
Do you mind if I open the window?	你介意我开窗吗？
I will never see him again.	我永遠不會再看到他。
Where're the shoes?	鞋子在哪儿？
His quick temper will get him in trouble one day.	他的急脾气迟早会惹祸上身。
We've arrived.	我們已經到了。
All of us would like to get rid of nuclear weapons.	我們所有的人都想除掉核子武器。
Tom swims.	Tom游泳。
He is afraid of his own shadow.	他是个胆小鬼。
Don't make noise when you eat soup.	當你喝湯的時候不要發出聲音。
No one had anything left to say.	沒有人有話可說。
It was one of the best nights I've had.	这是我度过的最好的夜晚之一。
She isn't at home now.	她現在不在家。
What's your husband's name?	你丈夫叫什么？
Tom isn't accustomed to walking barefooted.	汤姆不习惯光着脚漫步。
I handed the mike to him.	我把麥克風遞給他。
Will six o'clock suit you?	六點鐘你方便嗎?
You've got to apologize.	你應該道歉。
What's your name?	你叫什么名字？
He is old enough to understand it.	他已經到了能瞭解它的年紀。
I am divorced.	我离婚了。
I think Tom is athletic.	我认为汤姆好运动。
I would like to see it.	我想看看它。
Tell me about it!	跟我讲讲那件事。
They love each other.	他們彼此相愛。
It is rude to point at others.	指著別人是不禮貌的。
I am going to play tennis tomorrow.	我明天會去打網球。
History is not his major subject.	历史不是他的主修课。
He applied for the scholarship.	他申請了獎學金。
I'm not a native speaker.	我不是个母语者。
He made an important discovery.	他有了一個重要的發現。
It's snowing today.	今天下雪。
My sister married her high school classmate.	我的姐姐嫁給了她的高中同學。
He brought me to the bus stop.	他帶我到車站。
Mary has nice legs.	玛丽的腿很漂亮。
Those houses are 500 years old.	那些房子有500年了。
Stay out of the rain.	躲雨。
You must not be late for school.	你上學不可以遲到。
Someone came.	有人来了。
The world is just like a book, and every step you take is like turning a page.	世界就像是一本书，走一步等于翻了一页。
We talked about a variety of topics.	我們談了各種話題。
This place is large, isn't it?	這個地方很大，不是嗎？
Has she ever fallen in love?	她曾经坠入过爱河吗 ?
No, thank you. I'm full.	不，謝謝你。我吃飽了。
You should always do your best.	你應該永遠盡力而為。
Children should obey their parents.	孩子應該服從他們的父母。
Where did you get the money to buy that dress?	你從哪兒弄來的錢去買那件衣服？
You look like a little girl.	你看来是个小女孩。
I take care of my grandfather.	我照顧我的爺爺。
She was obliged to marry the old man.	她不得不和这个老男人结婚。
Do you know my name?	你知道我的名字嗎？
It makes sense to pay off your credit card balance every month.	每个月还清信用卡负债很重要。
I intend to study abroad next year.	我打算明年出國留學。
I want to go there once more.	我想再去那裡一次。
The train will probably arrive at the station before noon.	火车大概会在中午前到站。
I'd like three of these.	这个给我来三个。
Do you want me to make coffee?	你要我煮咖啡嗎?
Have you finished reading that novel?	你读完那本小说了吗？
Ueno is the station after next.	下下一站是上野站。
They must have had an accident.	他們一定發生了意外。
Did you watch TV last night?	你昨晚看電視了嗎？
The company's going to go bankrupt really soon.	公司很快就要倒闭了。
I'm completely exhausted.	我完全地筋疲力盡了。
I always take a bath before going to bed.	我睡觉前总要洗个澡。
I am glad to have her company.	我很高興有她的陪伴。
My father is very angry with me.	我父親對我非常生氣。
This book has a lot of pictures.	這本書有很多圖片。
He put his hands in his pockets.	他把手插進口袋裡。
He doesn't come here every day.	他不是每一天都來這裡。
Car exhaust causes serious pollution in towns.	汽车尾气在城镇里造成了严重的污染。
I have decided to carry on the work.	我决定继续工作。
We happened to get on the same bus.	我们恰巧上了同一辆公交车。
What you say makes no sense.	你說的話沒有道理。
He found the box under the table.	他在桌子底下發現了這個盒子。
Things are not clearly defined.	事情还没解释清楚。
A stranger spoke to me in the bus.	在公车上，一个陌生人和我说了话。
Come on, try again.	来，再试试看。
She put the key in her pocket.	她把鑰匙放在她的口袋裡。
This is the town where he was born.	这是他出生的城市。
I would like to go home now.	我現在想回家了。
I need to get some stamps.	我需要一些郵票。
The matter is all settled.	這個問題都被解決了。
What trips are you planning?	你在计划什么出游吗？
What are you doing that for?	你正在做的那個東西是做什麼用的？
It makes sense.	那样说得通。
Everybody desires happiness.	每个人都向往幸福。
The game ended at nine o'clock.	比賽在九點鐘結束。
Between you and me, I think our boss is stupid.	我觉得我们老板很蠢，这我就只跟你说。
The policeman was drunk.	警察醉了。
She gets up early every morning.	她每天早上早起。
A friend of mine came to see me during the day.	我的一個朋友在白天的時候來看我。
Tom is a clever kid.	汤姆是聪明的孩子。
He was drowned.	他溺水而亡。
She hopes to become a designer.	她希望成為一名設計師。
Tom has high blood pressure.	汤姆有高血压。
Please help me with my homework.	請幫我做我的家庭作業。
I put some cream in my coffee.	我在我的咖啡裡放了一些奶油。
You had better take an umbrella with you today.	你今天最好隨身帶把傘。
It is an endangered species.	这是一个濒临消失的物种。
Why did you go to Tokyo?	你為什麼去東京？
Tom hates spiders.	汤姆恨蜘蛛。
The students are talking about language and culture.	学生们在探讨语言和文化。
Can someone answer the telephone?	有人可以接電話嗎?
Do you know where they come from?	你知道他们来自哪里吗？
I don't blame you.	我不怪你。
Tom looks pale.	湯姆看起來很蒼白。
Tom finally did something right.	汤姆最终做了点正确的事。
She was promoted.	她晉升了。
You don't have to eat.	你不必吃。
I sometimes play tennis with her.	有時我會跟她打網球。
I agree with you to some extent.	我在一定程度上同意你的意見。
I need your advice.	我需要你的意见。
I went to Disneyland yesterday.	昨天我去了迪士尼樂園。
I didn't study at all yesterday.	我昨天都沒讀書。
They went to Chicago by car.	他們坐車去芝加哥。
He doesn't lie.	他不说谎。
He's an author.	他是作家。
He's very smart, and he's handsome too.	他很聪明，而且他很帅。
She's good at getting around rules.	她擅於逃避規則。
She is looking for her car keys.	她在找她的車鑰匙。
My father cannot lift it up.	我父親無法抬起它。
You like it, don't you?	你喜歡它，不是嗎？
Take it easy.	別緊張。
She made faces at that woman.	她對那個女人做了鬼臉。
The lake is deepest at this point.	这是湖的最深处。
I waited for her for a really long time.	我真的等了她很長一段時間。
There is no knowing what he will do next.	没有人知道他接下来会干什么。
Our teacher has a wonderful sense of humor.	我们的老师非常有幽默感。
That thought crossed my mind.	这应证了我的想法。
We'll go on a picnic next Sunday.	我們下週六將去野餐。
The mountain was covered with snow.	這座山被雪覆蓋著。
On the whole, the event was successful.	整體而言，這個事件是成功的。
Tom likes tea better than coffee.	湯姆喜歡茶勝過咖啡。
Tom took over after I left.	我走了后汤姆接手了。
Doctors have discovered some startling facts.	医生发现了一些令人吃惊的事实。
I told you to stop, didn't I?	我告訴了你停下來，不是嗎？
All of a sudden, it began raining.	突然開始下雨。
I'm right.	我是對的。
I dreamt about you.	我梦到你了。
I like pizza very much.	我非常喜歡比薩。
Which do you prefer, dogs or cats?	狗和猫你更喜欢哪一个？
This table takes up too much space.	這張桌子太佔空間了。
He moved into my neighborhood.	他搬到了我家附近。
She may realize later what I meant.	她可能以後會明白我的意思。
You did not come to school yesterday.	你昨天没来学校。
What about you?	您呢？
I left earlier than my sister.	我比我的妹妹早離開。
It's exactly as you say it is.	它跟你說的完全一樣。
The policeman arrested the burglar.	警察逮捕了小偷。
Tom lived in Japan for ten years.	湯姆住在日本十年了。
When can we eat, I wonder.	我不知道我們什麼時候可以吃。
I have problems, just like everybody else.	我有问题，就像其他人一样。
I'm looking forward to seeing you next Sunday.	我期待下周日能见到你。
Did you get the package I sent you?	你收到我寄給你的包裹了嗎？
Why did you cry?	你為什麼哭？
My grandfather died five years ago.	我祖父五年前去世了。
They are my brothers.	他们是我的兄弟。
I don't know right now.	我现在不知道。
You wouldn't believe me if I told you.	我告诉你，你也不会信。
This vending machine isn't working.	這台自動販賣機故障了。
She is already sleeping.	她已经睡下了。
She was dressed in wool.	她穿著羊毛衣。
It's very cold here in February.	這裡在二月時非常冷。
If I had worked hard in my youth, I would be successful now.	如果我年輕的時候努力工作, 我現在就成功了。
I got this bicycle for nothing.	我免費得到這輛自行車。
The police are looking into the matter.	警方正在调查。
My father is far from artistic.	我父親一點也不懂藝術。
He was elected captain of the team.	他被選為團隊的隊長。
Anybody would be better than nobody.	不管是谁总比没人好。
He returned home for the first time in ten years.	他十年中第一次回家。
I'll call Tom back.	我会叫汤姆回来。
Why don't you have a party?	你為什麼不舉行派對？
The largest bedroom faces south.	最大的卧室朝南。
Take care of yourself.	照顾好自己。
Your dog is very fat.	你的狗非常胖。
Can you save this seat for me?	你可以幫我保留這個座位嗎?
I like your car.	我喜欢您的车。
He did it for money.	他做这个是为了钱。
I broke a glass when I did the dishes.	我做菜时打了个玻璃杯。
She passed away peacefully in her sleep.	她在睡眠中安详地去世了。
They're 30 minutes behind schedule.	他們的進度較預期慢30分鐘。
I can cook.	我会做饭。
I had hoped that my mother would live until I got married.	我曾经希望我妈妈能活到我结婚的时候。
I'm sorry, I didn't hear you.	对不起，我没有听见你说话。
I want something cold to drink.	我想喝點冷飲。
The price does not include the box.	這個價格不包含這個箱子。
I can't deal with this problem anymore.	我不能再管这问题了。
I crossed the river by boat.	我乘船过了河。
He broke the law.	他触犯了法律。
I played with the baby on my knee.	我在膝蓋上跟嬰兒玩。
Ever since she fell in the kitchen, she hasn't been all there.	自從她在廚房裡摔倒後，她不曾再到那裡。
Where is the tourist information office?	遊客諮詢處在哪裡?
I have many abilities.	我有很多才能。
In case of fire, ring the bell.	萬一發生火災，按鈴。
I can do without his help.	沒有他的幫助我也能做。
The tourists were fascinated with the exquisite scenery.	觀光客被獨特的景致所吸引。
It would be wonderful if you could sing at our wedding.	你能在我们的婚礼上唱歌就太好了。
Mary won't listen to her friend's advice.	瑪麗不會聽她朋友的忠告。
I don't know if I have the time.	我不知道我有沒有時間。
Is something wrong?	有什么不对吗？
My grandmother has a green thumb.	我祖母是個園藝巧手。
The balloon was caught in the tree.	這顆氣球被樹絆住了。
How did you arrive at this conclusion?	你们怎么得出这个结论的？
She is always dressed in black.	她總是穿著黑色的衣服。
It snowed.	下雪了。
I can't get away from work now.	我現在上班無法離開。
I know the man sitting over there.	我認識坐在那裡的那個男人。
If it rains tomorrow, I won't go to the picnic.	如果明天下雨的话，我就不去野餐了。
He didn't respond to my question.	他沒有回答我的問題。
I haven't seen you for a while.	我好一陣子沒看到你了。
Don't forget to take out the garbage.	别忘了把垃圾拿出去。
I told you to get out.	我告诉过你出去。
She cooked vegetable soup for us.	她為我們煮了蔬菜湯。
Those shoes won't do for climbing.	那种鞋子用来登山是不行的。
Mercury is the smallest planet in our solar system.	水星是我們的太陽系中最小的行星。
You may depend on him to help you.	你或许可以依靠他来帮助你。
He tires easily.	他很容易觉得累。
Tom seems to be completely lost.	湯姆看來完全輸了。
I thank you from the bottom of my heart.	我打心底里感激你。
He introduced me to his parents.	他把我介紹給他的父母認識。
Each of them was given a prize.	他們每個人都被授獎了。
They decided to get married next month.	他們決定在下個月結婚。
It's time to go.	是該離開的時候了。
Can you see?	你能看吗？
Tom is a racist.	汤姆是种族主义者。
The ball is that boy's prized possession.	这个球是那个男孩的宝贝。
Give me the same, please.	请给我同样的东西。
Are you going to sing here?	你们要在这里唱歌吗？
You should apologize to Dad for not coming home in time for supper.	你應該為你沒有及時回家吃晚餐向你父親道歉。
He regrets his having wasted his money.	他后悔自己的挥金如土。
Let me do that.	让我去做。
This coffee is too hot for me to drink.	这咖啡热得我没办法喝。
She bit into the apple.	她咬了一口蘋果。
I hate being alone on Valentine's Day.	我讨厌在情人节一人独处。
I don't think that we should go with Tom.	我认为我们不应该跟汤姆一起走。
Fill the bucket with water.	把水裝滿桶子。
I will never force you to marry him.	我永遠不會逼你跟他結婚。
Follow me into the room.	跟我进房间。
You'd better not have eaten the cake.	你最好不要吃了蛋糕。
Tom is teaching me to how to sail.	汤姆正在教我怎么开帆船。
Prices depend on supply and demand.	價格取決於供給和需求。
We have to come to some agreement.	我们要达成一些协定。
The clown made a funny face.	小丑做了个鬼脸。
She is a clerk in the supermarket.	她在超市做秘书。
I met a friend.	我遇见一个朋友。
It's almost six o'clock.	快要六點了。
I'm taking an exam in January.	我一月份要参加考试。
Tom is very angry now.	汤姆现在很生气。
That responsibility is a burden to him.	那个责任对他是个负担。
This is very good soil.	这是非常好的土壤。
Tom said it was a diamond.	汤姆说它是钻石。
This wine tastes great.	這葡萄酒非常好喝。
He occasionally visited me.	他偶尔会来拜访我。
Is this jacket right for me?	我穿這件外套好看嗎？
He slept well last night.	他昨晚睡得很好。
He made me his own assistant.	他让我做他的助理。
We apologize for the delay and regret any inconvenience it may have caused.	我们对这次的延迟表示抱歉，并对可能造成的不便表示遗憾。
Don't you want to know why?	你不想知道为什么吗？
You're not supposed to be in this area.	你不应该待在这里。
I have the same trouble as you have.	我有跟你同樣的麻煩。
Are you ready?	你们准备好了吗？
Take a deep breath, please.	請深呼吸。
Can I pay by credit card?	我可以用信用卡付帳嗎?
Is it difficult eating with chopsticks?	用筷子吃饭难吗？
You'll find it difficult to meet her requirements.	你会发现难以满足她。
Is anyone absent today?	今天有人缺席嗎？
The barometer is falling. It is going to rain.	气压计下降了 - 要下雨了。
Have you found your ticket yet?	你找到你的票了吗？
English is useful in diplomacy and tourism.	英語在外交和旅遊業方面很有用。
Choose your favorite racket.	選擇你喜歡的球拍。
I finished reading the book last night.	我昨晚看完了這本書。
I need to search for my pen.	我得查找一下我的笔。
What you are saying does not make sense.	你说的没有意义。
He is on the radio.	他上电台了。
In the light of what you told us, I think we should revise our plan.	根据你所说的话，我认为我们应该重新审视我们的计划。
Come to my house this afternoon.	今天下午到我家来一趟。
My father was no less affectionate and tender to me than my mother was.	我爸爸对我的爱和照顾不比我妈妈少。
I like summer the best.	我最喜歡夏天。
He sells cars.	他賣車子。
His daughter has become a pretty woman.	他的女兒已經成為了一個漂亮的女人。
I don't know what you mean.	我不懂你什么意思。
Smoke appeared.	烟雾出现了。
I'll leave when she comes back.	當她回來的時後，我就離開。
You guys looked mad.	你们疯了吧
She doesn't have as much patience as you do.	她没像你那样有耐心。
Several thousand people became victims of this disease.	数千人受此疾病所害。
The news confirmed my suspicions.	这一消息证实了我的怀疑。
What would you do if you had ten thousand dollars?	如果你有一万美元，你想做什么呢？
He continued reading the book.	他繼續看書。
This isn't good.	这不好。
I learned a lot from his books.	我從他的書學到了很多。
Tom doesn't need to wear glasses anymore.	汤姆不需要再戴眼镜了。
He works hard all the year round.	他一年到頭努力工作。
He came.	他来了。
He is telling a lie.	他說謊。
Don't leave the TV on.	不要让电视机开着。
What time do you usually get up?	你通常什麼時候起床？
I am too busy to go.	我太忙了不能去。
Keep on working.	繼續工作！
Just then, the bus stopped.	就在那时，公交车停住了。
I have no idea where she lives.	我不知道她住在哪裡。
I decided not to go to Europe.	我决定不去欧洲了。
Please pick up my dry cleaning.	請取回我乾洗的衣服。
You have to get this work finished by noon.	你必須在中午以前完成這個工作。
I guess I waited too long.	我好像等太久了
She does not like sushi.	她不喜欢寿司。
Summers are very hot in Kyoto.	京都的夏天很热。
There's been a death in his family.	他的家不幸有人身亡。
Did I tell you I got a new job?	我有告訴你我找到新工作了嗎？
Are you satisfied now?	你現在滿意了嗎？
Everybody was confused.	每个人都很困惑
I'm very busy.	我很忙。
